StationID,date,avg_temp_soil_10cm_C,min_temp_soil_10cm_C,max_temp_soil_10cm_C,avg_temp_air_60cm_C,min_temp_air_60cm_C,max_temp_air_60cm_C,avg_temp_air_2m_C,min_temp_air_2m_C,max_temp_air_2m_C,avg_temp_air_10m_C,min_temp_air_10m_C,max_temp_air_10m_C,avg_rh_2m_pct,avg_temp_dp_2m_C,min_temp_dp_2m_C,max_temp_dp_2m_C,sum_rain_2m_inches,avg_wind_speed_10m_mph,wind_speed_max_10m_mph,avg_wind_direction_10m_deg,avg_rfd_2m_wm2,trf_2m_MJm2,ETo_grass_mm,num_observations
110,2002-08-06,30.482,28.5,31.74,28.828,23.99,34.03,28.912,24.16,33.72,28.734,24.52,32.81,73.06,23.09,21.699,23.789,0.009,3.78,36.015,245,255.879,,,45
110,2002-08-07,29.688,26.98,33.02,28.315,23.26,36.01,28.254,23.32,35.98,28.03,23.61,34.9,78.889,23.747,22.445,25.638,0,4.173,35.12,324,275.8,,,96
110,2002-08-08,29.651,27.8,32.3,26.306,19.51,32.41,26.332,19.9,32.31,26.248,20.89,31.3,76.803,21.348,17.266,23.687,0,5.531,44.962,98,243.963,,,96
110,2002-08-09,29.119,26.08,32.67,24.504,17.82,32.23,24.646,17.99,31.99,24.835,18.71,30.66,69.455,17.464,13.821,21.78,0,5.246,48.094,64,316.958,,,96
110,2002-08-10,28.857,25.92,32.28,25.171,18.05,31.72,25.185,18.33,31.34,25.116,19.94,30.15,71.686,18.947,14.743,22.865,0,6.196,73.148,77,288.407,,,96
110,2002-08-11,27.874,26.79,28.96,24.669,21.07,29.43,24.69,21.16,28.92,24.809,21.58,28.21,85.243,21.902,20.315,23.824,0,3.731,29.528,103,103.45,,,96
110,2002-08-12,28.778,25.71,32.28,26.046,19.67,33.76,26.069,20.08,33.24,25.995,20.8,31.72,75.286,20.674,18.437,22.606,0,4.247,108.044,100,277.616,,,96
110,2002-08-13,29.303,26.65,32.7,25.97,20.25,33.5,25.919,20.63,32.78,25.819,21.21,31.65,80.115,21.824,19.988,23.481,0,3.366,70.463,123,250.919,,,96
110,2002-08-14,29.064,27.14,31.28,26.27,21.13,33.3,26.224,21.46,32.27,26.297,22.03,31.3,80.838,22.304,20.772,24.172,0.158,4.489,108.268,171,250.734,,,96
110,2002-08-15,28.587,26.76,30.66,26.236,21.04,32.58,26.225,21.16,32.08,26.214,21.74,31.24,83.003,22.814,20.677,25.063,0.027,4.941,47.647,89,205.597,,,96
110,2002-08-16,28.873,27.13,31.04,26.866,23.27,32.14,26.793,23.41,31.72,26.67,23.61,30.87,84.188,23.708,22.489,25.673,0.158,5.734,49.213,115,243.719,,,96
110,2002-08-17,29.058,26.68,31.8,26.768,21.26,34.9,26.689,21.54,34.46,26.653,22.26,33.57,81.521,22.868,20.923,25.406,0,3.859,61.963,93,238,,,96
110,2002-08-18,29.552,27.33,32.03,26.681,22.56,32.71,26.598,22.62,32.11,26.455,22.87,31.03,85.244,23.721,22.178,25.863,0,4.057,109.61,134,230.127,,,96
110,2002-08-19,29.186,27.29,32.84,25.541,20.68,34.37,25.346,20.61,33.55,25.274,20.65,32.62,85.158,22.372,20.526,24.978,0.703,3.502,79.188,211,214.507,,,96
110,2002-08-20,28.117,25.95,30.62,25.435,20.33,32.72,25.284,20.23,32.12,25.146,20.29,31.11,85.33,22.444,20.248,24.395,0.009,3.448,88.583,46,214.92,,,96
110,2002-08-21,28.375,26.62,30.46,25.603,21.77,32.91,25.523,21.79,32.31,25.37,22.14,31.29,86.783,22.994,21.485,24.516,0,3.245,42.054,88,185.092,,,96
110,2002-08-22,28.524,26.32,31.13,25.867,21.1,33.72,25.757,21.08,32.97,25.609,21.42,31.27,85.605,22.977,20.853,25.14,0.009,3.373,30.646,86,204.259,,,96
110,2002-08-23,29.631,26.65,33.48,26.803,21.07,35.18,26.696,21.06,34.65,26.602,21.98,33.47,80.128,22.487,19.68,24.784,0,3.251,32.436,82,273.262,,,96
110,2002-08-24,30.463,27.51,34,27.672,21.5,35.06,27.604,21.72,34.5,27.54,22.54,33.6,76.777,22.575,20.734,24.589,0.009,3.864,88.583,245,270.645,,,96
110,2002-08-25,29.872,28.17,32.7,25.632,21.76,34.15,25.466,21.64,33.1,25.339,21.62,32.14,86.087,22.85,21.426,24.972,0.054,5.45,100.662,277,177.555,,,96
110,2002-08-26,29.216,26.97,32.22,25.764,21.1,33.32,25.617,20.96,32.84,25.402,20.94,32.05,83.357,22.218,18.652,23.953,0,4.416,76.503,321,236.863,,,96
110,2002-08-27,30.022,27.26,33.44,26.679,20.66,34.32,26.626,20.9,33.49,26.583,21.64,32.41,77.133,21.522,19.247,23.673,0,5.78,123.255,359,278.306,,,96
110,2002-08-28,29.965,27.39,32.77,26.017,19.49,33.22,26.037,19.59,32.87,25.944,20.42,31.92,75.974,20.752,19.197,22.713,0,3.891,80.306,46,257.847,,,96
110,2002-08-29,29.317,27.32,32.05,24.506,19.09,33.41,24.424,19.44,32.5,24.294,20.32,31.2,83.728,21.275,18.485,23.629,0,4.962,123.926,46,197.745,,,96
110,2002-08-30,29.112,26.98,32.24,25.271,21.25,33.36,25.145,21.24,32.8,24.854,21.41,31.01,83.555,21.992,20.655,23.651,0,5.848,102.228,53,214.297,,,96
110,2002-08-31,28.962,27.5,31.31,25.46,21.86,32.13,25.353,21.98,31.46,25.061,22.35,30.07,81.915,21.898,20.865,23.268,0,9.392,106.031,63,182.955,,,96
110,2002-09-01,28.395,27.04,30.24,24.852,21.82,30.27,24.759,21.88,29.63,24.52,22.04,27.97,83.88,21.757,21.027,22.919,0,7.994,117.215,56,157.615,,,96
110,2002-09-02,28.246,26.57,31.21,24.697,20.98,32.54,24.537,20.97,31.57,24.364,21.22,30.13,88.512,22.421,20.467,24.195,1.016,4.665,73.372,79,188.345,,,96
110,2002-09-03,28.259,26.16,30.59,26.305,21.51,33.26,26.259,21.52,32.75,26.11,21.91,31.4,82.754,22.754,21.262,25.459,0,4.23,37.133,65,230.556,,,96
110,2002-09-04,28.798,26.64,31.15,27.192,21.45,34.51,27.125,21.51,34.07,26.905,21.94,32.82,75.823,21.873,20.394,23.358,0,4.462,40.041,44,254.93,,,96
110,2002-09-05,29.357,26.99,32.19,27.616,21.35,35.58,27.642,21.84,35.05,27.596,22.68,33.87,73.674,21.476,17.323,23.578,0,3.707,39.817,32,264.785,,,96
110,2002-09-06,29.181,27.4,31.62,26.634,21.99,33.84,26.578,22.13,33.1,26.544,22.73,32.04,79.049,22.266,20.898,23.829,0.064,7.814,91.714,91,226.428,,,96
110,2002-09-07,27.973,26.9,29.21,25.647,22.44,30.86,25.582,22.71,30.55,25.491,22.9,29.85,82.372,22.119,20.713,23.185,0.267,6.756,55.252,83,155.658,,,96
110,2002-09-08,27.925,25.92,30.28,26.292,22.28,33.02,26.276,22.53,32.49,26.296,23.05,31.2,74.447,20.882,19.52,22.296,0,7.155,48.094,80,261.026,,,96
110,2002-09-09,28.536,26.08,31.6,26.192,20.12,33.36,26.145,20.34,32.69,26.029,21,31.41,72.9,20.348,17.268,21.944,0,5.374,38.699,59,275.005,,,96
110,2002-09-10,28.939,26.88,31.37,26.837,21.02,34.41,26.882,21.51,34,26.969,22.35,33.13,71.153,20.404,18.939,21.731,0,3.126,29.528,263,218.003,,,96
110,2002-09-11,29.07,26.61,32.04,26.982,20.2,36.38,27.047,20.63,35.89,27.146,21.95,35.02,74.526,20.599,13.519,24.383,0,4.398,98.649,271,250.172,,,96
110,2002-09-12,29.383,26.96,32.36,27.067,20.59,35.95,27.046,20.64,35.18,26.998,21.19,34.21,74.369,20.949,15.388,24.035,0,5.94,89.03,98,264.61,,,96
110,2002-09-13,27.548,26.38,28.92,23.614,22.25,26.24,23.569,22.27,25.9,23.562,22.32,25.4,94.181,22.613,21.254,23.877,0.725,7.513,119.676,87,72.942,,,96
110,2002-09-14,25.839,25.09,26.46,23.955,22.17,27.55,23.894,22.15,27.04,23.922,22.18,26.46,92.861,22.713,21.304,25.071,1.006,9.404,86.346,162,53.025,,,96
110,2002-09-15,27.162,25.37,29.45,25.882,22.53,33.19,25.699,22.46,32.6,25.608,22.48,31.74,85.398,22.989,21.946,25.666,0.009,4.069,33.554,251,200.341,,,96
110,2002-09-16,27.936,26.4,30.37,25.629,22,33.81,25.454,22.02,33.35,25.28,22.07,32.88,87.713,23.093,21.292,26.31,0.212,3.372,101.781,163,184.99,,,96
110,2002-09-17,28.131,26.16,30.48,26.081,21.17,33.16,25.992,21.3,32.53,25.876,21.53,31.72,83.36,22.662,20.823,23.875,0.009,2.547,29.304,114,214.41,,,96
110,2002-09-18,28.321,26.96,30.05,26.287,21.9,31.91,26.281,22.17,31.47,26.27,22.94,30.5,84.399,23.161,21.484,25.141,0.009,3.665,40.265,144,179.606,,,96
110,2002-09-19,27.977,26.2,29.93,26.039,20.86,32.13,26.016,20.97,31.73,26.013,21.37,30.75,84.03,22.786,20.597,25.307,0,5.447,109.834,112,212.622,18.564,4.503,96
110,2002-09-20,28.488,26.67,30.77,26.804,22.88,32.96,26.762,23,32.33,26.596,23.18,31.27,84.174,23.611,22.299,25.237,0,7.471,110.952,122,226.881,19.809,4.985,96
110,2002-09-21,28.288,27.16,30,25.325,22.58,31.83,25.244,22.72,31.13,25.155,23.04,30.26,90.335,23.514,21.666,25.563,0.158,6.025,103.346,76,148.847,12.996,3.611,96
110,2002-09-22,27.752,26.47,30.19,24.719,21.12,33.3,24.582,21.15,32.29,24.431,21.27,31.03,84.235,21.555,19.853,23.16,0.027,6.253,111.847,46,186.61,16.293,4.34,96
110,2002-09-23,27.225,25.57,29.21,25.789,20.88,32.54,25.72,20.91,31.78,25.597,21.04,30.69,75.242,20.589,19.462,21.998,0,7.678,71.582,43,228.4,19.942,4.97,96
110,2002-09-24,26.049,25.04,26.96,23.278,21.49,25.29,23.27,21.39,25.13,23.338,21.5,24.87,89.96,21.503,20.106,23.01,1.271,10.144,56.818,57,41.089,3.587,1.774,96
110,2002-09-25,24.503,24.29,25.01,22.959,22.08,24.21,22.91,21.99,24.45,23.066,22.16,24.72,96.272,22.33,21.457,23.198,6.493,14.282,85.227,73,20.419,1.783,1.415,96
110,2002-09-26,25.483,24.47,26.61,25.22,22.18,27.84,25.175,22.14,27.42,25.261,22.17,27.54,90.029,23.446,20.528,25.468,2.88,17.416,116.992,170,91.823,8.017,3.101,96
110,2002-09-27,25.188,24.53,25.99,22.863,21.27,25.82,22.759,21.22,25.37,22.687,21.24,24.9,83.109,19.794,19.079,20.526,0,5.075,35.567,287,106.234,9.275,2.416,96
110,2002-09-28,25.645,23.97,27.52,23.928,18.95,29.91,23.88,19.12,29.63,23.811,19.55,28.7,77.703,19.342,18.044,21.81,0,3.961,85.898,8,251.305,21.941,4.507,96
110,2002-09-29,25.801,24.04,27.74,23.809,17.89,31.1,23.833,18.33,30.68,23.95,18.98,29.9,80.264,19.618,17.536,22.13,0,2.919,96.188,54,222.191,20.252,4.221,96
110,2002-09-30,26.117,24.79,27.76,24.41,20.17,31.44,24.366,20.3,30.9,24.379,20.71,30.17,89.204,22.348,19.73,24.428,0.348,4.5,46.976,73,138.462,,,96
110,2002-10-01,26.188,24.96,27.71,24.914,21.38,30.67,24.909,21.46,30.16,24.876,21.7,29.58,85.491,22.119,20.895,23.648,0.009,6.177,34.673,58,163.603,,,96
110,2002-10-02,26.593,25.14,28.45,26.002,22.24,32.33,26.017,22.33,31.81,25.955,22.45,30.85,78.863,21.757,20.456,23.784,0,7.632,47.423,90,217.483,18.988,4.787,96
110,2002-10-03,26.42,25.38,27.66,25.51,23.18,29.14,25.527,23.37,28.96,25.463,23.52,28.53,87.288,23.19,20.612,25.793,0.798,11.015,65.542,115,142.633,12.409,3.513,96
110,2002-10-04,26.648,25.74,27.77,25.79,23.96,29.7,25.831,24.19,29.58,25.902,24.35,29.02,90.966,24.155,22.594,25.604,0.403,5.35,71.358,186,94.841,8.281,2.502,96
110,2002-10-05,27.347,26.03,29.01,26.723,23.24,33.14,26.68,23.47,32.69,26.632,23.75,32.09,83.907,23.494,21.049,25.544,0,2.711,32.883,266,175.765,15.338,3.77,95
110,2002-10-06,27.363,26,28.95,25.596,21.61,32.43,25.534,21.72,31.93,25.51,21.95,31.29,84.846,22.602,20.686,24.564,0.018,2.87,31.988,230,182.923,16.87,3.915,95
110,2002-10-07,26.886,25.56,28.37,24.623,20.3,31.33,24.542,20.36,30.65,24.476,20.78,30.03,84.618,21.617,19.839,23.937,0.009,3.301,89.254,2,184.539,15.944,3.733,95
110,2002-10-08,26.453,25.02,28.04,23.907,19.48,30.32,23.837,19.46,29.67,23.73,19.54,28.74,83.225,20.621,19.006,22.026,0,3.641,24.83,1,206.934,17.879,3.932,95
110,2002-10-09,26.029,25.12,27.13,23.519,20.12,29.42,23.471,20.37,28.89,23.457,20.74,28.07,88.427,21.359,19.443,23.38,0,5.807,33.554,74,103.392,,,95
110,2002-10-10,25.567,24.83,26.43,23.194,21.05,27.06,23.097,20.94,26.72,23.02,20.87,26.36,89.044,21.22,20.129,22.538,0,5.999,36.686,91,84.419,,,95
110,2002-10-11,26.18,24.72,28.05,24.435,21.06,30.27,24.371,21.32,29.9,24.34,21.33,29.3,86.304,21.77,20.613,23.146,0.237,3.871,26.843,167,160.689,13.884,3.421,95
110,2002-10-12,26.289,24.78,28.12,24.183,20.11,31.16,24.095,20.39,30.49,24.125,20.82,29.91,87.66,21.737,19.782,23.446,0.082,2.485,53.015,175,150.043,12.964,3.213,95
110,2002-10-13,26.272,24.97,28.01,23.81,18.33,28.92,23.74,18.4,28.29,23.548,18.56,27.2,80.787,20.077,16.016,22.321,0,6.155,41.831,356,201.565,17.415,3.997,95
110,2002-10-14,23.475,22.11,24.81,18.784,16.09,22.79,18.611,15.95,22.35,18.535,16.03,21.95,90.542,17.146,14.729,19.304,3.156,6.134,35.791,24,66.566,5.751,2.104,95
110,2002-10-15,21.873,21.27,22.41,17.875,15.78,19.8,17.732,15.66,19.56,17.709,15.73,19.23,94.913,17.04,14.967,18.289,0.521,6.283,80.977,21,42.479,3.67,1.611,95
110,2002-10-16,21.242,20.07,22.97,16.109,9.84,22.11,16.066,9.94,21.71,16.197,11.56,21.06,76.271,11.267,8.487,15.372,0,6.551,48.989,325,210.032,18.147,3.509,95
110,2002-10-17,20.146,18.23,22.34,14.395,7.62,22.57,14.416,7.71,22.22,14.837,8.48,21.63,73.761,8.805,6.442,11.662,0,3.465,107.597,333,230.339,19.901,3.326,95
110,2002-10-18,19.918,17.96,22.2,15.448,8.7,24.07,15.696,9.3,23.75,16.193,10.53,22.92,71.414,9.401,7.329,12.465,0,4.843,71.582,83,226.666,19.38,3.635,95
110,2002-10-19,20.551,18.19,23.03,18.167,10.21,27.51,18.422,10.53,27.18,18.94,11.92,26.29,79.894,14.339,7.811,19.215,0,4.779,34.449,99,190.354,16.447,3.731,94
110,2002-10-20,21.959,20.29,23.84,21.221,16.01,28.65,21.222,16.26,28.13,21.322,17.36,27.2,87.759,18.895,15.703,21.318,0.018,6.354,105.136,107,144.967,12.525,3.531,96
110,2002-10-21,22.728,21.29,24.38,20.82,16.8,26.3,20.751,17.07,25.89,20.713,17.58,25.36,87.745,18.55,16.416,21.44,0,3.841,116.544,1,151.633,13.101,3.026,96
110,2002-10-22,22.944,21.37,25,20.713,16.86,27.8,20.761,16.87,27.26,20.806,17.01,26.34,79.927,16.683,15.18,18.427,0,3.8,26.62,15,199.866,17.268,3.628,96
110,2002-10-23,22.136,21.54,22.65,19.52,16.98,22.62,19.467,17.17,22.28,19.552,17.73,21.92,91.475,18.08,15.176,20.217,0,7.423,79.859,61,43.64,3.771,1.838,96
110,2002-10-24,21.967,21.27,22.92,19.091,17.33,22.99,18.846,17.17,22.26,18.679,17.19,21.1,91.398,17.619,16.609,18.795,0,6.768,79.188,46,77.034,6.656,2.121,96
110,2002-10-25,22.543,21.5,23.77,21.183,17.95,25.34,21.064,18.01,24.99,20.993,18.18,24.59,89.732,19.335,17.432,20.634,0.018,4.083,27.291,94,88.409,7.639,2.297,96
110,2002-10-26,22.532,21.97,23.07,20.968,19.7,23.49,20.875,19.63,23.39,20.863,19.64,23.25,96.436,20.372,19.238,22.324,2.01,4.779,30.422,108,36.184,3.126,1.497,96
110,2002-10-27,22.505,22.03,23.11,21.399,19.92,22.82,21.284,19.87,22.65,21.249,19.89,22.5,97.217,20.935,19.593,22.173,0.191,5.927,96.188,64,37.344,3.227,1.45,96
110,2002-10-28,23.608,22.44,25.01,23.675,21.37,27,23.711,21.56,27.01,23.741,21.9,26.67,91.419,22.148,20.702,23.876,0.16,6.244,47.199,171,83.718,7.233,2.301,89
110,2002-10-29,23.281,22.44,24.3,21.431,19.35,26.98,21.435,19.31,26.86,21.589,19.42,26.57,94.995,20.574,18.7,24.326,0.437,5.956,69.121,193,46.203,3.992,2.085,96
110,2002-10-30,22.693,21.49,24.39,20.134,14.79,25.3,20.096,14.97,24.99,20.176,15.27,24.48,80.446,16.262,12.687,19.467,0,4.878,40.936,331,176.175,15.221,3.33,96
110,2002-10-31,20.553,19.4,21.95,14.861,11.12,20.84,14.728,11.16,20.19,14.717,11.4,19.51,79.345,11.053,8.447,12.937,0,7.651,83.214,6,164.782,14.237,3.076,95
110,2002-11-01,18.98,17.55,20.79,13.56,7.7,20.74,13.376,7.7,20.12,13.286,7.95,19.49,71.389,8.062,6.54,9.568,0,6.744,70.911,8,192.127,16.6,3.295,96
110,2002-11-02,18.171,16.67,19.73,12.988,7.73,19.69,12.724,7.72,18.93,12.607,7.96,17.96,67.753,6.711,5.395,8.862,0,6.31,99.32,8,178.415,15.415,3.017,96
110,2002-11-03,17.936,17.29,18.54,13.833,10.51,17.22,13.621,10.38,16.62,13.65,10.53,16.39,80.274,10.399,8.666,14.131,0.036,5.571,30.87,78,56.515,4.934,1.813,96
110,2002-11-04,19.199,18.06,20.33,17.859,16.12,21.5,17.706,16.17,21.64,17.747,16.17,21.91,91.281,16.402,14.558,20.611,0.045,5.41,40.936,46,66.37,5.675,1.958,95
110,2002-11-05,20.595,19.23,21.79,21.464,16.92,26.17,21.427,16.72,26.2,21.444,16.77,26.15,93.512,20.325,16.029,22.992,1.125,8.785,86.346,184,48.99,4.233,2.584,96
110,2002-11-06,19.408,17.49,21.38,13.64,7.73,18.92,13.49,7.81,18.88,13.526,8.4,18.84,77.98,9.646,6.885,17.709,0,9.446,71.582,316,164.88,14.246,3.107,96
110,2002-11-07,17.115,15.72,18.93,10.712,5.625,19.13,10.742,5.581,18.74,11.044,5.872,18.29,76.771,6.169,4.94,8.253,0,4.167,38.252,352,196.615,16.988,2.911,96
110,2002-11-08,16.754,14.63,18.9,13.649,4.42,22.61,13.808,4.881,22.14,14.385,6.72,21.4,79.891,9.763,3.723,14.336,0,5.378,99.767,105,188.568,16.292,3.411,96
110,2002-11-09,18.272,16.62,19.89,18.538,11.72,24.95,18.542,12.12,24.85,18.722,13.16,24.41,90.489,16.856,11.352,20.566,0.009,5.423,85.675,117,99.982,8.638,2.876,96
