StationID,Date Time,Soil Temp (C) Avg,Soil Temp (C) Min,Soil Temp (C) Max,Temp @ 60cm (C) Avg,Temp @ 60cm (C) Min,Temp @ 60cm (C) Max,Temp @ 2m (C) Avg,Temp @ 2m (C) Min,Temp @ 2m (C) Max,Temp @ 10m (C) Avg,Temp @ 10m (C) Min,Temp @ 10m (C) Max,Relative Humidity (%) Avg,Dew Point Temp (C) Avg,Dew Point Temp (C) Min,Dew Point Temp (C) Max,Rainfall Amount (in) Sum,Wind Speed (mph) Avg,Wind Speed (mph) Max,Wind Direction (deg) Avg,Solar Radiation (w/m2) Avg,Solar Radiation (MJ/m2) Sum,ETo Grass (mm) Avg,Number of Observations
260,2021-01-01,18.02,17.02,19.4,22.98,19.53,28.53,23.24,19.87,28.18,22.82,19.64,27.37,82.11,19.81,19.08,21.31,0,7.43,13.5,187.08,102.84,8.88552,1.76,96
260,2021-01-02,18.56,17.86,19.32,22.06,18.97,25.6,22.38,19.62,25.55,22.01,19.56,24.82,87.47,20.14,18.6,21.22,0,7.3,11.64,206.36,56,4.83843,1.38,96
260,2021-01-03,18.44,16.76,19.23,15.99,6.22,21.15,16.26,7.12,21.46,16.3,8.56,21.12,83.23,13.1,6.31,20.18,0.41,5.23,9.81,278.66,112.29,9.7018,1.36,96
260,2021-01-04,15.42,13.96,16.74,8.89,2.67,17.87,9.17,3.49,17.23,9.38,4.13,16.83,76.71,4.51,2.86,7.24,0,2.87,8.26,250.1,146.77,12.6808,1.06,96
260,2021-01-05,14.09,12.54,15.71,9.5,1.66,19.85,10.01,2.51,19.3,10.52,2.87,18.96,77.26,5.5,2.13,12.36,0.05,4.5,15.19,278.38,129.59,11.1964,1.22,96
260,2021-01-06,13.62,11.82,15.48,9.1,0.41,19.11,9.28,0.92,17.82,9.78,1.76,17.55,76.49,4.7,0.37,7.76,0,2.66,6.21,108.62,141.73,12.2452,1.08,96
260,2021-01-07,13.95,12.44,15.39,12.8,4.58,20.78,12.92,5.11,20.46,13.19,6.55,20.13,85,10.2,4.49,14.11,0.1,5.52,11.14,136.37,99.81,8.62386,1.39,96
260,2021-01-08,14.15,13.58,15.02,11.18,8.42,14.1,11.25,8.4,13.41,11.31,8.34,13.31,83.42,8.4,5.12,12.51,0.02,7.29,15,288.38,72.68,6.27975,1.08,96
260,2021-01-09,12.67,11.91,13.55,6.17,1.67,8.32,6.07,2.5,8.31,6.01,3.1,8.25,80.22,2.9,1.06,5.01,0,6.28,10.72,294.57,42.04,3.63213,0.96,96
260,2021-01-10,12.42,11.33,14,7.07,3.85,13.08,6.83,3.83,11.74,6.77,3.7,11.7,76.73,2.9,1.34,5.38,0,3.53,6.58,87.27,107.69,9.30439,0.98,96
260,2021-01-11,13.38,12.18,14.92,13.83,4.49,21.56,13.89,5.05,21.22,13.89,5.88,20.79,80.73,10.39,4,14.36,0,4.44,12.29,134.55,71.35,6.16424,1.48,96
260,2021-01-12,14.68,14.23,14.87,13.42,9.13,17.57,13.41,9.12,18.06,13.32,9.02,18.09,87.44,11.36,6.54,15.84,0,5.35,9.59,263.98,27.62,2.38622,1.3,96
260,2021-01-13,13.61,13,14.2,8.38,4.71,11.25,8.24,5.77,10.37,8.15,6.29,10.04,88.73,6.46,5.26,7.6,0.05,3.33,9.41,197.73,36.33,3.13908,1,96
260,2021-01-14,12.85,11.37,14.7,7.25,0.96,16.62,7.15,0.86,15.53,7.56,0.89,15.4,81.19,3.5,0.52,7.12,0.01,2.42,6.77,225.35,150.58,13.01,1.03,96
260,2021-01-15,13.11,11.71,14.72,12.66,3.88,21.57,12.86,4.93,21.06,12.99,5.96,20.51,86.92,10.58,4.24,15.47,0.01,7.12,16.06,214.95,101.05,8.73093,1.49,96
260,2021-01-16,12.58,11.23,13.71,7.49,0.79,14.87,7.85,1.89,14.26,8.29,2.8,13.86,73.16,2.66,-1.04,7.12,0.01,6.5,18.03,257.03,150.7,13.0209,1.09,96
260,2021-01-17,11.36,9.83,12.84,5.95,-2.02,14.82,6.13,-1.21,14.1,6.36,-1,13.88,77.73,1.97,-1.63,5.14,0,3.41,11.29,220.84,106.65,9.21439,1.14,96
260,2021-01-18,11.87,10.22,13.85,7.95,0.81,17.38,8.43,1.7,16.61,9.19,2.75,16.3,70.01,2.01,-0.99,6.09,0,4.11,13.7,253.31,158.5,13.6946,1.17,96
260,2021-01-19,11.75,9.67,14.12,7.51,-1.77,21.04,7.65,-1.17,19.46,8.13,-0.65,19.48,69.39,0.72,-2.01,5.83,0,2.01,6.46,101.84,160.09,13.8314,1.23,96
260,2021-01-20,12.06,10.06,14.21,10.01,-0.46,21.91,10.31,0.16,21.18,10.79,0.84,20.72,69.64,3.57,-1.68,8.75,0,3.05,8.51,242.89,146.39,12.648,1.4,96
