StationID,date,avg_temp_soil_10cm_C,min_temp_soil_10cm_C,max_temp_soil_10cm_C,avg_temp_air_60cm_C,min_temp_air_60cm_C,max_temp_air_60cm_C,avg_temp_air_2m_C,min_temp_air_2m_C,max_temp_air_2m_C,avg_temp_air_10m_C,min_temp_air_10m_C,max_temp_air_10m_C,avg_rh_2m_pct,avg_temp_dp_2m_C,min_temp_dp_2m_C,max_temp_dp_2m_C,sum_rain_2m_inches,avg_wind_speed_10m_mph,wind_speed_max_10m_mph,avg_wind_direction_10m_deg,avg_rfd_2m_wm2,trf_2m_MJm2,ETo_grass_mm,num_observations
110,2005-01-01,13.528,12.74,14.59,16.168,10.82,22.23,16.398,11.97,21.84,16.88,13.6,21.59,82.074,13.19,11.017,15.168,0,6.265,39.37,104,79.266,6.849,1.41,96
110,2005-01-02,13.942,12.8,15.13,15.536,8.82,24.14,15.806,9.21,23.38,16.886,12.17,22.96,81.293,12.167,8.712,14.708,0,5.649,38.252,92,125.79,10.868,1.442,96
110,2005-01-03,14.224,13.12,15.35,15.252,9.16,23.74,15.38,9.6,22.91,16.284,12.42,22.18,85.921,12.704,9.177,15.342,0,5.705,43.173,111,122.258,10.563,1.435,96
110,2005-01-04,14.609,13.48,15.7,15.737,8.35,24.22,15.662,8.57,23.29,16.12,9.42,22.34,86.332,13.082,8.226,16.567,0,5.841,92.162,123,124.872,10.789,1.453,96
110,2005-01-05,15.562,14.58,16.48,17.743,11.9,23.71,17.434,11.62,22.9,17.527,11.9,22.3,89.49,15.535,11.268,18.328,0.009,6.863,87.464,138,105.816,9.143,1.487,96
110,2005-01-06,17.052,16.43,18.02,19.913,14.88,25.55,19.768,15.12,24.76,19.792,15.45,24.21,84.562,16.923,13.541,18.411,0.009,6.599,114.979,233,94.33,8.15,1.559,96
110,2005-01-07,17.096,16.34,17.83,18.795,13.63,23.77,18.573,13.85,23.1,18.577,14.39,22.46,89.647,16.749,12.881,19.304,0,8.898,50.778,126,79.242,6.847,1.505,96
110,2005-01-08,18.045,17.34,18.74,17.769,12.5,23.22,17.501,12.28,22.49,17.492,12.27,22.39,91.574,16.085,11.225,19.639,1.498,5.453,44.515,329,51.361,4.437,1.43,96
110,2005-01-09,16.816,16.28,17.33,13.857,9.61,18.36,13.504,9.26,17.98,13.643,9.34,17.94,94.101,12.542,8.884,15.483,0,3.188,28.856,291,59.641,5.153,1.237,96
110,2005-01-10,17.264,16.55,18.36,17.846,13.85,24.88,17.513,13.97,23.72,17.669,14.62,23.6,82.4,14.183,13.208,15.525,0,3.488,77.845,222,131.044,11.322,1.52,96
