StationID,date,avg_temp_soil_10cm_C,min_temp_soil_10cm_C,max_temp_soil_10cm_C,avg_temp_air_60cm_C,min_temp_air_60cm_C,max_temp_air_60cm_C,avg_temp_air_2m_C,min_temp_air_2m_C,max_temp_air_2m_C,avg_temp_air_10m_C,min_temp_air_10m_C,max_temp_air_10m_C,avg_rh_2m_pct,avg_temp_dp_2m_C,min_temp_dp_2m_C,max_temp_dp_2m_C,sum_rain_2m_inches,avg_wind_speed_10m_mph,wind_speed_max_10m_mph,wind_direction_10m_deg,avg_rfd_2m_wm2,trf_2m_MJm2,ETo_grass_mm,num_observations
110,2012-01-01,15.973,14.99,17.36,16.731,9.93,23.06,16.697,10.09,22.95,16.765,10.2,22.84,81.323,13.074,3.05,19.19,0.009,7.115,14.581,253.017,104.761,9.05134,1.482,96
110,2012-01-02,13.274,11.57,15.06,7.434,3.361,12.21,7.357,3.492,11.78,7.584,3.684,11.86,51.517,-2.676,-7.87,3.2,0,9.36,15.511,309.37,168,14.5152,0.912,96
110,2012-01-03,10.421,9.39,11.5,1.721,-3.238,7.64,1.573,-3.129,6.789,1.848,-2.909,6.985,51.29,-8.141,-11.45,-3.39,0,6.653,13.992,297.172,167.437,14.4665,0.706,96
110,2012-01-04,9.628,7.87,11.48,4.422,-5.271,14.89,4.328,-5.106,14.35,4.948,-4.207,14.31,73.278,-0.949,-6.03,5.42,0,3.944,9.564,155.712,165.771,14.3226,0.895,96
110,2012-01-05,11.066,9.29,13.27,11.121,4.124,20.76,11.536,5.034,20.14,12.46,6.39,20.13,84.522,8.527,4.33,12.33,0,4.175,11.253,250.885,159.339,13.7669,1.179,96
110,2012-01-06,12.453,10.8,14.19,12.666,4.666,21.4,12.514,4.655,20.54,12.894,5.598,20.49,90.339,10.715,4.6,14.68,0,3.588,7.865,190.156,126.584,10.9369,1.268,96
110,2012-01-07,13.596,12.12,15.17,14.174,7.49,22.61,14.222,7.85,21.82,15.123,8.95,21.26,91.58,12.688,7.84,16.57,0.018,1.603,7.845,61.678,123.743,10.6914,1.297,96
110,2012-01-08,14.396,13.02,15.91,15.622,9.46,23.41,15.812,9.61,22.76,16.36,10.46,21.99,93.47,14.656,9.55,18.64,0.046,2.024,13.592,42.983,98.33,8.49571,1.394,96
110,2012-01-09,15.534,14.36,17.03,17.5,14.2,23.6,17.654,14.74,22.84,17.922,15.74,22.32,93.534,16.498,14.72,18.75,0.009,0.628,5.697,16.364,112.365,9.70835,,96
110,2012-01-10,16.246,15.82,16.75,18.166,14.85,20.97,18.201,15.04,21.01,18.192,15.45,20.88,94.355,17.253,14.31,19.6,0.186,0,0,0,25.476,2.20116,,96
110,2012-01-11,15.584,14.22,16.49,12.853,7,19.54,12.696,7.29,19.64,12.806,8.06,19.59,81.874,9.52,6.88,19.18,0.009,0,0,0,157.971,13.6487,,96
110,2012-01-12,13.64,12.45,14.92,10.256,3.452,20,10.289,3.555,19.55,10.72,3.623,19.32,79.127,6.532,-5.42,15.44,0,0,0,0,122.826,10.6121,,96
110,2012-01-13,11.187,9.97,12.37,2.632,-2.059,9.49,2.561,-1.957,8.64,2.974,-1.827,8.56,59.456,-5.098,-7.16,-1.16,0,0,0,0,172.635,14.9157,,96
110,2012-01-14,10.211,8.51,12.07,5.355,-3.9,15.66,5.367,-3.732,14.93,6.242,-2.361,14.86,60.349,-3.273,-7.82,3.19,0,0,0,0,175.348,15.1501,,96
110,2012-01-15,10.703,8.94,12.87,8.277,1.037,18.94,8.49,2.002,17.98,9.608,3.519,18.17,69.797,2.3,0.35,5.48,0,0,0,0,173.481,14.9888,,96
110,2012-01-16,11.591,10.14,13.32,12.238,2.284,19.99,12.303,2.932,19.16,12.645,5.715,18.52,83.021,9.305,2.25,12.42,0,0,0,0,144.131,12.4529,,96
110,2012-01-17,13.462,11.99,15.04,17.329,10.65,23.92,17.504,11.8,23.17,17.655,12.51,22.25,89.069,15.512,11.66,18.59,0.726,0,0,0,98.96,8.55015,,96
110,2012-01-18,14.128,12.47,15.07,9.816,2.897,16.56,9.628,3.307,16.54,9.766,3.673,16.51,81.989,6.467,1.93,16.4,0.174,0,0,0,160.493,13.8666,,96
110,2012-01-19,12.198,10.56,13.75,9.114,0.688,17.28,8.999,0.693,16.52,9.28,0.845,16.25,79.945,5.308,0.04,12.33,0,0,0,0,173.319,14.9747,,96
110,2012-01-20,14.556,12.69,16.13,18.725,12.54,22.59,18.888,13.41,22.42,18.945,14.16,22.13,93.932,17.867,12.71,20.02,0.267,0,0,0,75.234,6.50025,,96
110,2012-01-21,16.71,15.79,17.82,20.299,17.71,24.82,20.389,17.92,24.54,20.317,18.02,24.19,92.019,18.987,17.72,20.1,0,0,0,0,95.238,8.22859,,96
110,2012-01-22,17.618,16.92,18.45,20.149,17.95,23.14,20.191,18.1,22.86,20.092,18.2,22.56,97.08,19.697,18.1,21.33,0.065,0,0,0,61.306,5.29684,,96
110,2012-01-23,18.527,18.08,19.11,20.446,15.55,23.72,20.48,15.6,23.5,20.424,16.36,23.18,94.527,19.544,15.57,20.78,0.064,0,0,0,65.802,5.68531,,96
110,2012-01-24,17.39,16.38,18.12,16.546,11.44,21.84,16.415,11.37,21.52,16.469,11.45,21.34,79.778,12.75,8.71,15.98,0,0,0,0,123.714,10.6889,,96
